word_simplified,word_traditional,pinyin,pinyin_style2,hsk30_level,hsk30_level_zh,cc_cedict_english_definition
见,見,jiàn,jian4,1,一级,to appear/also written 現|现[xian4]
叫,"叫,呌",jiào,jiao4,1,一级,variant of 叫[jiao4]
教,教,jiào,jiao4,1,一级,religion/teaching/to make/to cause/to tell
教学楼,教學樓,jiào xué lóu,jiao4 xue2 lou2,1,一级,school building; academic building
介绍,介紹,jiè shào,jie4 shao4,1,一级,to introduce (sb to sb)/to give a presentation/to present (sb for a job etc)/introduction
姐姐,姐姐,jiě jiě,jie3 jie3,1,一级,older sister/CL:個|个[ge4]
进,進,jìn,jin4,1,一级,to go forward/to advance/to go in/to enter/to put in/to submit/to take in/to admit/(math.) base of a number system/classifier for sections in a building or residential compound
进来,進來,jìn lái,jin4 lai2,1,一级,to come in
今年,今年,jīn nián,jin1 nian2,1,一级,this year
进去,進去,jìn qù,jin4 qu4,1,一级,to go in
今天,今天,jīn tiān,jin1 tian1,1,一级,today/the present time; now
就,就,jiù,jiu4,1,一级,(after a suppositional clause) in that case; then/(after a clause of action) as soon as; immediately after/(same as 就是[jiu4 shi4]) merely; nothing else but; simply; just; precisely; exactly/only; as little as/as much as; as many as/to approach; to move towards/to undertake; to engage in/(often followed by 著|着[zhe5]) taking advantage of/(of food) to go with/with regard to; concerning/(pattern: 就[jiu4] ... 也[ye3] ...) even if ... still .../(pattern: 不[bu4] ... 就[jiu4] ...) if not ... then must be ...
九,九,jiǔ,jiu3,1,一级,nine/9
觉得,覺得,jué de,jue2 de,1,一级,to think that ...; to feel that .../to feel (uncomfortable etc)
开,開,kāi,kai1,1,一级,"to open (transitive or intransitive)/(of ships, vehicles, troops etc) to start/to turn on; to put in operation; to operate; to run/to boil/to write out (a prescription, check, invoice etc)/(directional complement) away; off/carat (gold)/abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2]/abbr. for 開本|开本[kai1 ben3], book format"
开车,開車,kāi chē,kai1 che1,1,一级,to drive a car
开会,開會,kāi huì,kai1 hui4,1,一级,to hold a meeting/to attend a meeting
开玩笑,開玩笑,kāi wán xiào,kai1 wan2 xiao4,1,一级,to play a joke/to make fun of/to joke
看病,看病,kàn bìng,kan4 bing4,1,一级,to visit a doctor/to see a patient
看见,看見,kàn jiàn,kan4 jian4,1,一级,to see/to catch sight of
看,看,kàn,kan4,1,一级,to see; to look at/to read/to watch/to visit; to call on/to consider; to regard as/to look after/to treat (a patient or illness)/to depend on/to feel (that)/(after a verb) to give it a try/to watch out for
看到,看到,kàn dào,kan4 dao4,1,一级,to see
考,"攷,考",kǎo,kao3,1,一级,to check/to verify/to test/to examine/to take an exam/to take an entrance exam for/deceased father
考试,考試,kǎo shì,kao3 shi4,1,一级,to take an exam/exam/CL:次[ci4]
课,課,kè,ke4,1,一级,"subject/course/CL:門|门[men2]/class/lesson/CL:堂[tang2],節|节[jie2]/to levy/tax/form of divination"
课本,課本,kè běn,ke4 ben3,1,一级,textbook/CL:本[ben3]
渴,渴,kě,ke3,1,一级,thirsty
课文,課文,kè wén,ke4 wen2,1,一级,text/CL:篇[pian1]
口,口,kǒu,kou3,1,一级,"mouth/classifier for things with mouths (people, domestic animals, cannons, wells etc)/classifier for bites or mouthfuls"
快,快,kuài,kuai4,1,一级,rapid/quick/speed/rate/soon/almost/to make haste/clever/sharp (of knives or wits)/forthright/plainspoken/gratified/pleased/pleasant
块,塊,kuài,kuai4,1,一级,"lump; chunk; piece/classifier for pieces of cloth, cake, soap etc/(coll.) classifier for money and currency units"
来,來,lái,lai2,1,一级,"to come/(used as a substitute for a more specific verb)/hither (directional complement for motion toward the speaker, as in 回來|回来[hui2 lai5])/ever since (as in 自古以來|自古以来[zi4 gu3 yi3 lai2])/for the past (amount of time)/(prefix) the coming ...; the next ... (as in 來世|来世[lai2 shi4])/(between two verbs) in order to/(after a round number) approximately/(used after 得[de2] to indicate possibility, as in 談得來|谈得来[tan2 de5 lai2], or after 不[bu4] to indicate impossibility, as in 吃不來|吃不来[chi1 bu5 lai2])"
来到,來到,lái dào,lai2 dao4,1,一级,to arrive; to come
老,老,lǎo,lao3,1,一级,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity/old (of people)/venerable (person)/experienced/of long standing/always/all the time/of the past/very/outdated/(of meat etc) tough
老人,老人,lǎo rén,lao3 ren2,1,一级,old man or woman/the elderly/one's aged parents or grandparents
老师,老師,lǎo shī,lao3 shi1,1,一级,"teacher/CL:個|个[ge4],位[wei4]"
了,"了,瞭",le,le,1,一级,unofficial variant of 瞭[liao4]
累,"纍,累",lèi,lei4,1,一级,rope/to bind together/to twist around
冷,冷,lěng,leng3,1,一级,cold
里,"里,裡,裏",lǐ,li3,1,一级,"li, ancient measure of length, approx. 500 m/neighborhood/ancient administrative unit of 25 families/(Tw) borough, administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels"
里边,裡邊,lǐ biān,li3 bian1,1,一级,inside
两,兩,liǎng,liang3,1,一级,"two/both/some/a few/tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)"
零,零,líng,ling2,1,一级,zero/nought/zero sign/fractional/fragmentary/odd (of numbers)/(placed between two numbers to indicate a smaller quantity followed by a larger one)/fraction/(in mathematics) remainder (after division)/extra/to wither and fall/to wither
六,六,liù,liu4,1,一级,six/6
楼,樓,lóu,lou2,1,一级,"house with more than 1 story/storied building/floor/CL:層|层[ceng2],座[zuo4],棟|栋[dong4]"
楼上,樓上,lóu shàng,lou2 shang4,1,一级,upstairs/(Internet slang) previous poster in a forum thread
楼下,樓下,lóu xià,lou2 xia4,1,一级,downstairs
路,路,lù,lu4,1,一级,road/CL:條|条[tiao2]/journey/route/line (bus etc)/sort; kind
路口,路口,lù kǒu,lu4 kou3,1,一级,crossing/intersection (of roads)
路上,路上,lù shàng,lu4 shang4,1,一级,on the road/on a journey/road surface
马路,馬路,mǎ lù,ma3 lu4,1,一级,street/road/CL:條|条[tiao2]
妈妈,媽媽,mā mā,ma1 ma1,1,一级,"mama/mommy/mother/CL:個|个[ge4],位[wei4]"
吗,嗎,ma,ma,1,一级,"(question particle for ""yes-no"" questions)"
马上,馬上,mǎ shàng,ma3 shang4,1,一级,at once/right away/immediately/on horseback (i.e. by military force)
买,買,mǎi,mai3,1,一级,to buy/to purchase
慢,慢,màn,man4,1,一级,slow
忙,忙,máng,mang2,1,一级,busy/hurriedly/to hurry/to rush
