hanzi_sc,hanzi_trad,pinyin,pinyin_style2,level,level_zh,cc_cedict_definitions
仍,仍,réng,reng2,3,初等|三级,still; yet/to remain/(literary) frequently; often
父,父,fù,fu4,3,初等|三级,father
亲,親,qīn,qin1,3,初等|三级,parents-in-law of one's offspring
性,性,xìng,xing4,3,初等|三级,"nature/character/property/quality/attribute/sexuality/sex/gender/suffix forming adjective from verb/suffix forming noun from adjective, corresponding to -ness or -ity/essence/CL:個|个[ge4]"
某,某,mǒu,mou3,3,初等|三级,some/a certain/sb or sth indefinite/such-and-such
命,命,mìng,ming4,3,初等|三级,"life/fate/order or command/to assign a name, title etc"
达,達,dá,da2,3,初等|三级,to attain/to reach/to amount to/to communicate/eminent
义,義,yì,yi4,3,初等|三级,"justice/righteousness/meaning/foster (father etc)/adopted/artificial (tooth, limb etc)/relationship/friendship"
断,斷,duàn,duan4,3,初等|三级,to break/to snap/to cut off/to give up or abstain from sth/to judge/(usu. used in the negative) absolutely/definitely/decidedly
类,類,lèi,lei4,3,初等|三级,kind/type/class/category/similar/like/to resemble
媒,媒,méi,mei2,3,初等|三级,"medium/intermediary/matchmaker/go-between/abbr. for 媒體|媒体[mei2 ti3], media, esp. news media"
首,首,shǒu,shou3,3,初等|三级,"head/chief/first (occasion, thing etc)/classifier for poems, songs etc"
母,母,mǔ,mu3,3,初等|三级,mother/elderly female relative/origin/source/(of animals) female
